Sensitive_Strain	Supernatant	Concentration	Tech_repl	Biol_repl	Plate_number	control	AUC	normAUC	fConcentration
P. copri	B. vulgatus	5	tech2	biol2	plate7	FALSE	-0.18188458728999246	-0.013793912171109264	5
P. copri	B. vulgatus	5	tech2	biol3	plate4	FALSE	-0.07012417823228632	-0.005532088647848158	5
P. copri	B. vulgatus	10	tech1	biol1	plate7	FALSE	-0.20233747260774262	-0.015986429617015477	10
P. copri	B. vulgatus	10	tech1	biol2	plate7	FALSE	-0.19722425127830506	-0.01495725416144378	10
P. copri	B. vulgatus	10	tech1	biol3	plate4	FALSE	-0.09495982468955425	-0.007491370043961035	10
P. copri	B. vulgatus	10	tech2	biol1	plate7	FALSE	-0.2257121986851714	-0.017833237370605715	10
P. copri	B. vulgatus	10	tech2	biol2	plate7	FALSE	-0.06501095690284885	-0.00493035414951296	10
P. copri	B. vulgatus	10	tech2	biol3	plate4	FALSE	-0.1592403214024833	-0.012562451304488506	10
P. copri	B. vulgatus pempty	0	tech1	biol1	plate7	TRUE	13.095425867507887	1.0346531526644547	0
P. copri	B. vulgatus pempty	0	tech1	biol2	plate7	TRUE	13.720031545741325	1.0405109797734757	0
P. copri	B. vulgatus pempty	0	tech1	biol3	plate4	TRUE	11.196372239747634	0.8832805649346241	0
P. copri	B. vulgatus pempty	0	tech2	biol1	plate7	TRUE	13.234227129337539	1.0456196660561405	0
P. copri	B. vulgatus pempty	0	tech2	biol2	plate7	TRUE	13.466876971608833	1.0213120360183865	0
P. copri	B. vulgatus pempty	0	tech2	biol3	plate4	TRUE	12.082807570977918	0.9532113499586797	0
