strain	supernatant	conc	drug	well	tech_repl	biol_repl	plate_number	experiment_number	AUC	maxOD	finalOD
B. thetaiotaomicron	E. rectale	0	Niclosamide	G8	tech3	biol1	plate1	20	1.0333783523056141	1.0024096385542167	1.0024096385542167
B. thetaiotaomicron	E. rectale	0	Niclosamide	G8	tech3	biol2	plate1	21	1.0178861788617888	1	1
B. thetaiotaomicron	E. rectale	0	Niclosamide	G8	tech3	biol3	plate1	22	1.0066746126340882	1	1
B. thetaiotaomicron	E. rectale	5	Niclosamide	C6	tech1	biol1	plate6	178	9.60522524253195e-4	-0.011049723756906087	-0.012628255722178386
B. thetaiotaomicron	E. rectale	5	Niclosamide	C6	tech1	biol2	plate6	181	0.0062548866301798366	-0.006650041562759751	-0.009975062344139638
B. thetaiotaomicron	E. rectale	5	Niclosamide	C6	tech1	biol3	plate3	183	0.0013938496384702484	-0.004819277108433739	-0.008032128514056209
B. thetaiotaomicron	E. rectale	5	Niclosamide	D6	tech2	biol1	plate6	178	0.002305254058207667	-0.00947119179163379	-0.012628255722178386
B. thetaiotaomicron	E. rectale	5	Niclosamide	D6	tech2	biol2	plate6	181	0.006254886630179832	-0.004987531172069807	-0.008312551953449694
B. thetaiotaomicron	E. rectale	5	Niclosamide	D6	tech2	biol3	plate3	183	0.0036588553009843966	-0.0032128514056224927	-0.008032128514056209
B. thetaiotaomicron	E. rectale	5	Niclosamide	E10	tech1	biol1	plate1	20	0.39166505884622793	0.7983935742971887	0.7983935742971887
B. thetaiotaomicron	E. rectale	5	Niclosamide	E10	tech1	biol2	plate1	21	0.01114982578397213	0.009374999999999965	0.009374999999999965
B. thetaiotaomicron	E. rectale	5	Niclosamide	E10	tech1	biol3	plate1	22	0.3067938021454112	0.6166394779771616	0.6166394779771616
B. thetaiotaomicron	E. rectale	5	Niclosamide	F10	tech2	biol1	plate1	20	0.4263939803202778	0.8321285140562249	0.8321285140562249
B. thetaiotaomicron	E. rectale	5	Niclosamide	F10	tech2	biol2	plate1	21	0.018583042973286865	0.009374999999999965	0.009374999999999965
B. thetaiotaomicron	E. rectale	5	Niclosamide	F10	tech2	biol3	plate1	22	0.3251489868891537	0.6394779771615009	0.6394779771615009
B. thetaiotaomicron	E. rectale	5	Niclosamide	G10	tech3	biol1	plate1	20	0.47848736253135243	0.8578313253012048	0.8578313253012048
B. thetaiotaomicron	E. rectale	5	Niclosamide	G10	tech3	biol2	plate1	21	0.016260162601626015	0.01562499999999997	0.01562499999999997
B. thetaiotaomicron	E. rectale	5	Niclosamide	G10	tech3	biol3	plate1	22	0.33015494636471987	0.6492659053833606	0.6492659053833606
B. thetaiotaomicron	E. rectale	10	Niclosamide	C7	tech1	biol1	plate6	178	0.004226299106714027	-0.0015785319652722983	-0.014206787687450663
B. thetaiotaomicron	E. rectale	10	Niclosamide	C7	tech1	biol2	plate6	181	0.0037529319781079025	-0.006650041562759751	-0.009975062344139638
